spread_id,page_ids,classification,confidence,signals,image
s0002_0003,p0002|p0003,uncertain,0.5362,gutter_edge_alignment|shared_color_palette,images/spreads/s0002_0003.jpg
s0004_0005,p0004|p0005,uncertain,0.535,gutter_edge_alignment|shared_color_palette,images/spreads/s0004_0005.jpg
s0006_0007,p0006|p0007,uncertain,0.5347,gutter_edge_alignment|shared_color_palette,images/spreads/s0006_0007.jpg
s0008_0009,p0008|p0009,uncertain,0.5227,gutter_edge_alignment|shared_color_palette,images/spreads/s0008_0009.jpg
s0010_0011,p0010|p0011,uncertain,0.3812,gutter_edge_alignment,images/spreads/s0010_0011.jpg
s0012_0013,p0012|p0013,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0012_0013.jpg
s0014_0015,p0014|p0015,uncertain,0.5284,gutter_edge_alignment|shared_color_palette,images/spreads/s0014_0015.jpg
s0016_0017,p0016|p0017,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0016_0017.jpg
s0018_0019,p0018|p0019,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0018_0019.jpg
s0020_0021,p0020|p0021,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0020_0021.jpg
s0022_0023,p0022|p0023,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0022_0023.jpg
s0024_0025,p0024|p0025,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0024_0025.jpg
s0026_0027,p0026|p0027,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0026_0027.jpg
s0028_0029,p0028|p0029,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0028_0029.jpg
s0030_0031,p0030|p0031,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0030_0031.jpg
s0032_0033,p0032|p0033,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0032_0033.jpg
s0034_0035,p0034|p0035,uncertain,0.4526,gutter_edge_alignment,images/spreads/s0034_0035.jpg
s0036_0037,p0036|p0037,uncertain,0.5276,gutter_edge_alignment|shared_color_palette,images/spreads/s0036_0037.jpg
s0038_0039,p0038|p0039,uncertain,0.5279,gutter_edge_alignment|shared_color_palette,images/spreads/s0038_0039.jpg
s0040_0041,p0040|p0041,uncertain,0.5305,gutter_edge_alignment|shared_color_palette,images/spreads/s0040_0041.jpg
s0042_0043,p0042|p0043,uncertain,0.53,gutter_edge_alignment|shared_color_palette,images/spreads/s0042_0043.jpg
