spread_id,page_ids,classification,confidence,signals,image
s0050_0051,p0050|p0051,uncertain,0.5987,gutter_color_continuity|shared_color_palette,images/spreads/s0050_0051.jpg
s0052_0053,p0052|p0053,uncertain,0.4188,gutter_edge_alignment|shared_color_palette,images/spreads/s0052_0053.jpg
s0066_0067,p0066|p0067,uncertain,0.396,gutter_edge_alignment|shared_color_palette,images/spreads/s0066_0067.jpg
s0086_0087,p0086|p0087,uncertain,0.4126,gutter_edge_alignment|shared_color_palette,images/spreads/s0086_0087.jpg
s0088_0089,p0088|p0089,uncertain,0.4,gutter_color_continuity|shared_color_palette,images/spreads/s0088_0089.jpg
s0124_0125,p0124|p0125,uncertain,0.5486,gutter_edge_alignment|shared_color_palette,images/spreads/s0124_0125.jpg
s0126_0127,p0126|p0127,uncertain,0.5824,gutter_edge_alignment|shared_color_palette,images/spreads/s0126_0127.jpg
s0134_0135,p0134|p0135,uncertain,0.5708,gutter_edge_alignment|shared_color_palette,images/spreads/s0134_0135.jpg
s0148_0149,p0148|p0149,uncertain,0.4095,gutter_color_continuity|shared_color_palette,images/spreads/s0148_0149.jpg
s0152_0153,p0152|p0153,uncertain,0.5101,gutter_edge_alignment|shared_color_palette,images/spreads/s0152_0153.jpg
s0174_0175,p0174|p0175,uncertain,0.5309,gutter_edge_alignment|shared_color_palette,images/spreads/s0174_0175.jpg
s0192_0193,p0192|p0193,uncertain,0.5641,gutter_edge_alignment|shared_color_palette,images/spreads/s0192_0193.jpg
s0210_0211,p0210|p0211,uncertain,0.5746,gutter_edge_alignment|shared_color_palette,images/spreads/s0210_0211.jpg
s0228_0229,p0228|p0229,uncertain,0.5611,gutter_edge_alignment|shared_color_palette,images/spreads/s0228_0229.jpg
s0242_0243,p0242|p0243,uncertain,0.5577,gutter_edge_alignment|shared_color_palette,images/spreads/s0242_0243.jpg
s0250_0251,p0250|p0251,uncertain,0.5623,gutter_edge_alignment|shared_color_palette,images/spreads/s0250_0251.jpg
s0268_0269,p0268|p0269,uncertain,0.5886,gutter_edge_alignment|shared_color_palette,images/spreads/s0268_0269.jpg
s0282_0283,p0282|p0283,uncertain,0.387,shared_color_palette,images/spreads/s0282_0283.jpg
s0284_0285,p0284|p0285,uncertain,0.387,shared_color_palette,images/spreads/s0284_0285.jpg
s0286_0287,p0286|p0287,uncertain,0.554,gutter_color_continuity,images/spreads/s0286_0287.jpg
