spread_id,page_ids,classification,confidence,signals,image
s0004_0005,p0004|p0005,uncertain,0.4811,gutter_color_continuity,images/spreads/s0004_0005.jpg
s0008_0009,p0008|p0009,uncertain,0.4672,gutter_edge_alignment|shared_color_palette,images/spreads/s0008_0009.jpg
s0022_0023,p0022|p0023,uncertain,0.4197,gutter_edge_alignment|shared_color_palette,images/spreads/s0022_0023.jpg
s0046_0047,p0046|p0047,uncertain,0.4339,gutter_color_continuity|shared_color_palette,images/spreads/s0046_0047.jpg
s0048_0049,p0048|p0049,uncertain,0.5507,gutter_color_continuity,images/spreads/s0048_0049.jpg
s0054_0055,p0054|p0055,uncertain,0.3998,gutter_color_continuity|shared_color_palette,images/spreads/s0054_0055.jpg
s0076_0077,p0076|p0077,uncertain,0.536,gutter_edge_alignment|shared_color_palette,images/spreads/s0076_0077.jpg
s0084_0085,p0084|p0085,uncertain,0.458,gutter_color_continuity|shared_color_palette,images/spreads/s0084_0085.jpg
s0088_0089,p0088|p0089,uncertain,0.5196,gutter_edge_alignment|shared_color_palette,images/spreads/s0088_0089.jpg
s0108_0109,p0108|p0109,uncertain,0.4243,gutter_color_continuity|shared_color_palette,images/spreads/s0108_0109.jpg
s0110_0111,p0110|p0111,uncertain,0.5332,gutter_color_continuity|gutter_edge_alignment|shared_color_palette,images/spreads/s0110_0111.jpg
s0146_0147,p0146|p0147,uncertain,0.3905,gutter_edge_alignment|shared_color_palette,images/spreads/s0146_0147.jpg
s0148_0149,p0148|p0149,uncertain,0.4902,gutter_edge_alignment|shared_color_palette,images/spreads/s0148_0149.jpg
s0154_0155,p0154|p0155,uncertain,0.385,gutter_edge_alignment|shared_color_palette,images/spreads/s0154_0155.jpg
s0156_0157,p0156|p0157,uncertain,0.4743,gutter_edge_alignment,images/spreads/s0156_0157.jpg
s0162_0163,p0162|p0163,uncertain,0.5196,gutter_edge_alignment|shared_color_palette,images/spreads/s0162_0163.jpg
s0174_0175,p0174|p0175,uncertain,0.5694,gutter_edge_alignment|shared_color_palette,images/spreads/s0174_0175.jpg
s0188_0189,p0188|p0189,uncertain,0.4661,gutter_edge_alignment|shared_color_palette,images/spreads/s0188_0189.jpg
