spread_id,page_ids,classification,confidence,signals,image
s0038_0039,p0038|p0039,uncertain,0.3862,gutter_color_continuity|shared_color_palette,images/spreads/s0038_0039.jpg
s0046_0047,p0046|p0047,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0046_0047.jpg
s0048_0049,p0048|p0049,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0048_0049.jpg
s0050_0051,p0050|p0051,uncertain,0.4292,gutter_color_continuity|shared_color_palette,images/spreads/s0050_0051.jpg
s0054_0055,p0054|p0055,uncertain,0.3862,gutter_color_continuity|shared_color_palette,images/spreads/s0054_0055.jpg
s0066_0067,p0066|p0067,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0066_0067.jpg
s0068_0069,p0068|p0069,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0068_0069.jpg
s0070_0071,p0070|p0071,uncertain,0.4293,gutter_color_continuity|shared_color_palette,images/spreads/s0070_0071.jpg
s0072_0073,p0072|p0073,uncertain,0.4293,gutter_color_continuity|shared_color_palette,images/spreads/s0072_0073.jpg
s0074_0075,p0074|p0075,uncertain,0.4274,gutter_color_continuity|shared_color_palette,images/spreads/s0074_0075.jpg
s0076_0077,p0076|p0077,uncertain,0.4184,gutter_color_continuity|shared_color_palette,images/spreads/s0076_0077.jpg
s0078_0079,p0078|p0079,uncertain,0.427,gutter_color_continuity|shared_color_palette,images/spreads/s0078_0079.jpg
s0080_0081,p0080|p0081,uncertain,0.4248,gutter_color_continuity|shared_color_palette,images/spreads/s0080_0081.jpg
s0086_0087,p0086|p0087,uncertain,0.3862,gutter_color_continuity|shared_color_palette,images/spreads/s0086_0087.jpg
s0096_0097,p0096|p0097,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0096_0097.jpg
s0098_0099,p0098|p0099,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0098_0099.jpg
s0100_0101,p0100|p0101,uncertain,0.4293,gutter_color_continuity|shared_color_palette,images/spreads/s0100_0101.jpg
s0102_0103,p0102|p0103,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0102_0103.jpg
s0104_0105,p0104|p0105,uncertain,0.4285,gutter_color_continuity|shared_color_palette,images/spreads/s0104_0105.jpg
s0106_0107,p0106|p0107,uncertain,0.4279,gutter_color_continuity|shared_color_palette,images/spreads/s0106_0107.jpg
s0108_0109,p0108|p0109,uncertain,0.4285,gutter_color_continuity|shared_color_palette,images/spreads/s0108_0109.jpg
s0110_0111,p0110|p0111,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0110_0111.jpg
s0116_0117,p0116|p0117,uncertain,0.3862,gutter_color_continuity|shared_color_palette,images/spreads/s0116_0117.jpg
s0126_0127,p0126|p0127,uncertain,0.4285,gutter_color_continuity|shared_color_palette,images/spreads/s0126_0127.jpg
s0136_0137,p0136|p0137,uncertain,0.4288,gutter_color_continuity|shared_color_palette,images/spreads/s0136_0137.jpg
s0146_0147,p0146|p0147,uncertain,0.4293,gutter_color_continuity|shared_color_palette,images/spreads/s0146_0147.jpg
s0156_0157,p0156|p0157,uncertain,0.4248,gutter_color_continuity|shared_color_palette,images/spreads/s0156_0157.jpg
s0166_0167,p0166|p0167,uncertain,0.4255,gutter_color_continuity|shared_color_palette,images/spreads/s0166_0167.jpg
s0176_0177,p0176|p0177,uncertain,0.4276,gutter_color_continuity|shared_color_palette,images/spreads/s0176_0177.jpg
s0186_0187,p0186|p0187,uncertain,0.428,gutter_color_continuity|shared_color_palette,images/spreads/s0186_0187.jpg
s0196_0197,p0196|p0197,uncertain,0.4276,gutter_color_continuity|shared_color_palette,images/spreads/s0196_0197.jpg
s0206_0207,p0206|p0207,uncertain,0.429,gutter_color_continuity|shared_color_palette,images/spreads/s0206_0207.jpg
s0216_0217,p0216|p0217,uncertain,0.4271,gutter_color_continuity|shared_color_palette,images/spreads/s0216_0217.jpg
s0222_0223,p0222|p0223,uncertain,0.4294,gutter_color_continuity|shared_color_palette,images/spreads/s0222_0223.jpg
