spread_id,page_ids,classification,confidence,signals,image
s0030_0031,p0030|p0031,uncertain,0.4881,gutter_color_continuity,images/spreads/s0030_0031.jpg
s0034_0035,p0034|p0035,uncertain,0.4352,gutter_color_continuity|shared_color_palette,images/spreads/s0034_0035.jpg
s0038_0039,p0038|p0039,uncertain,0.4348,gutter_color_continuity|shared_color_palette,images/spreads/s0038_0039.jpg
s0042_0043,p0042|p0043,uncertain,0.4355,gutter_color_continuity|shared_color_palette,images/spreads/s0042_0043.jpg
s0046_0047,p0046|p0047,uncertain,0.4462,gutter_color_continuity|shared_color_palette,images/spreads/s0046_0047.jpg
s0048_0049,p0048|p0049,uncertain,0.492,gutter_color_continuity,images/spreads/s0048_0049.jpg
s0052_0053,p0052|p0053,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0052_0053.jpg
s0062_0063,p0062|p0063,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0062_0063.jpg
s0072_0073,p0072|p0073,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0072_0073.jpg
s0082_0083,p0082|p0083,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0082_0083.jpg
s0092_0093,p0092|p0093,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0092_0093.jpg
s0102_0103,p0102|p0103,uncertain,0.4465,gutter_color_continuity|shared_color_palette,images/spreads/s0102_0103.jpg
s0104_0105,p0104|p0105,uncertain,0.4904,gutter_color_continuity,images/spreads/s0104_0105.jpg
s0108_0109,p0108|p0109,uncertain,0.4348,gutter_color_continuity|shared_color_palette,images/spreads/s0108_0109.jpg
s0118_0119,p0118|p0119,uncertain,0.4348,gutter_color_continuity|shared_color_palette,images/spreads/s0118_0119.jpg
s0128_0129,p0128|p0129,uncertain,0.4348,gutter_color_continuity|shared_color_palette,images/spreads/s0128_0129.jpg
s0138_0139,p0138|p0139,uncertain,0.4349,gutter_color_continuity|shared_color_palette,images/spreads/s0138_0139.jpg
s0148_0149,p0148|p0149,uncertain,0.4348,gutter_color_continuity|shared_color_palette,images/spreads/s0148_0149.jpg
s0158_0159,p0158|p0159,uncertain,0.4349,gutter_color_continuity|shared_color_palette,images/spreads/s0158_0159.jpg
s0168_0169,p0168|p0169,uncertain,0.4462,gutter_color_continuity|shared_color_palette,images/spreads/s0168_0169.jpg
s0170_0171,p0170|p0171,uncertain,0.4988,gutter_color_continuity,images/spreads/s0170_0171.jpg
s0174_0175,p0174|p0175,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0174_0175.jpg
s0180_0181,p0180|p0181,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0180_0181.jpg
s0184_0185,p0184|p0185,uncertain,0.4356,gutter_color_continuity|shared_color_palette,images/spreads/s0184_0185.jpg
s0190_0191,p0190|p0191,uncertain,0.4453,gutter_color_continuity|shared_color_palette,images/spreads/s0190_0191.jpg
