source_page,code,severity,message,extraction_method
1,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
2,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
3,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
4,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
5,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
6,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
7,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
8,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
9,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
10,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
11,OCR_USED,info,스캔 이미지를 OCR로 추출했으므로 원문 대조가 필요합니다.,ocr
